City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Elmira,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
11,Katsuura,JP,44.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
13,Andenes,NO,28.38,overcast clouds,69.3143,16.1194,Hotell Marena
16,Lagoa,PT,58.62,overcast clouds,39.05,-27.9833,Casa Das Faias
19,Mataura,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
22,Aswan,EG,47.88,clear sky,24.0934,32.907,Nuba Nile
25,Punta Arenas,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
28,Grindavik,IS,30.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
32,Hilo,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
40,Kapaa,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
46,Fredericksburg,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
47,Wexford,IE,43.57,broken clouds,52.3342,-6.4575,Talbot Hotel Wexford
49,Ormond Beach,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
50,Rikitea,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
51,Ancud,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
52,Ishige,JP,44.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
56,Bluff,NZ,54.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Vieques,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
58,Fairbanks,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
60,Teahupoo,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
65,Kamaishi,JP,44.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
66,Taltal,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
68,Bethel,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
80,Tooele,US,23.0,few clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
81,Yomitan,JP,44.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
83,Atuona,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
85,Tono,JP,44.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
86,Llanes,ES,46.89,clear sky,43.4198,-4.7549,Hotel La Paz
89,Ribnitz-Damgarten,DE,43.11,overcast clouds,54.25,12.4667,Perle am Bodden
