City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dubrovka,RU,53.6907,33.5071,15.78,96,100,4.74,snow
1,Saint-Philippe,RE,-21.3585,55.7679,72.99,72,95,12.93,light rain
2,Cape Town,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
3,Chuy,UY,-33.6971,-53.4616,75.67,93,100,6.55,moderate rain
4,Elmira,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
5,Mount Isa,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
6,Jamestown,US,42.097,-79.2353,18.72,85,100,8.05,overcast clouds
7,Ust-Kulom,RU,53.6907,33.5071,15.78,96,100,4.74,snow
8,Wangqing,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
9,Dikson,RU,53.6907,33.5071,15.78,96,100,4.74,snow
10,Port Keats,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
11,Katsuura,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
12,Lavrentiya,RU,53.6907,33.5071,15.78,96,100,4.74,snow
13,Andenes,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
14,Iqaluit,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
15,Lubao,PH,14.9167,120.55,80.67,74,79,7.7,broken clouds
16,Lagoa,PT,39.05,-27.9833,58.62,81,92,8.9,overcast clouds
17,Lorengau,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
18,Chabahar,IR,25.2919,60.643,66.31,37,0,3.49,clear sky
19,Mataura,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
20,Tuktoyaktuk,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
21,Belushya Guba,RU,53.6907,33.5071,15.78,96,100,4.74,snow
22,Aswan,EG,24.0934,32.907,47.88,31,0,10.18,clear sky
23,Juba,SS,4.8517,31.5825,78.87,28,52,3.0,broken clouds
24,Mahebourg,MU,-20.4081,57.7,73.26,69,72,14.5,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,48.31,57,0,27.63,clear sky
26,Itarema,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
27,Tyukalinsk,RU,53.6907,33.5071,15.78,96,100,4.74,snow
28,Grindavik,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
29,Ambon,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
30,Reconquista,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
31,Yellowknife,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
32,Hilo,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,74.59,85,67,7.47,broken clouds
34,New Norfolk,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
35,Butaritari,KI,3.0707,172.7902,82.06,79,39,16.91,scattered clouds
36,Severo-Kurilsk,RU,53.6907,33.5071,15.78,96,100,4.74,snow
37,Albany,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
38,Verkhnyaya Inta,RU,53.6907,33.5071,15.78,96,100,4.74,snow
39,Xinyu,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
40,Kapaa,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
41,Chokurdakh,RU,53.6907,33.5071,15.78,96,100,4.74,snow
42,Hithadhoo,MV,-0.6,73.0833,80.98,67,91,16.26,overcast clouds
43,Orlik,RU,53.6907,33.5071,15.78,96,100,4.74,snow
44,Busselton,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
45,Mar Del Plata,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
46,Fredericksburg,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
47,Wexford,IE,52.3342,-6.4575,43.57,82,60,3.78,broken clouds
48,Hobart,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
49,Ormond Beach,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
50,Rikitea,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
51,Ancud,CL,-53.15,-70.9167,48.31,57,0,27.63,clear sky
52,Ishige,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
53,Tabiauea,KI,3.0707,172.7902,82.06,79,39,16.91,scattered clouds
54,Vaini,TO,-21.2,-175.2,86.16,74,20,9.22,few clouds
55,Norman Wells,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
56,Bluff,NZ,-46.6,168.3333,54.81,76,100,10.92,overcast clouds
57,Vieques,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
58,Fairbanks,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
59,Torbay,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
60,Teahupoo,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
61,Georgetown,US,42.097,-79.2353,18.72,85,100,8.05,overcast clouds
62,Avarua,CK,-21.2078,-159.775,78.85,89,100,5.75,light rain
63,Lewisporte,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
64,Qaanaaq,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
65,Kamaishi,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
66,Taltal,CL,-53.15,-70.9167,48.31,57,0,27.63,clear sky
67,Taoudenni,ML,22.6783,-3.9836,69.98,19,99,8.37,overcast clouds
68,Bethel,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
69,Hermanus,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
70,Luderitz,NA,-26.6481,15.1594,74.23,60,6,22.95,clear sky
71,Port Elizabeth,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
72,Bac Lieu,VN,9.285,105.7244,76.17,82,33,8.93,scattered clouds
73,Itapeva,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
74,Nikolskoye,RU,53.6907,33.5071,15.78,96,100,4.74,snow
75,East London,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
76,Kieta,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
77,Lisakovsk,KZ,52.5369,62.4936,1.06,93,21,6.51,few clouds
78,Nizhneyansk,RU,53.6907,33.5071,15.78,96,100,4.74,snow
79,Saldanha,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
80,Tooele,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
81,Yomitan,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
82,Hervey Bay,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
83,Atuona,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
84,La Ronge,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
85,Tono,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
86,Llanes,ES,43.4198,-4.7549,46.89,67,0,3.22,clear sky
87,Ushuaia,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
88,Bredasdorp,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
89,Ribnitz-Damgarten,DE,54.25,12.4667,43.11,87,100,15.93,overcast clouds
90,Khonuu,RU,53.6907,33.5071,15.78,96,100,4.74,snow
91,Westport,NZ,-46.6,168.3333,54.81,76,100,10.92,overcast clouds
92,Sao Joao Batista,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
93,Narsaq,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
94,Mana,GF,5.6592,-53.7767,76.55,84,94,9.42,overcast clouds
95,Cidreira,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
96,Cayenne,GF,5.6592,-53.7767,76.55,84,94,9.42,overcast clouds
97,Port Alfred,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
98,Sadasivpet,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
99,Half Moon Bay,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
