City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-01-25 01:08:37,22.0752,-159.319,78.78,64,40,1.99
1,Bombay,IN,2022-01-25 01:08:29,19.0144,72.8479,62.58,51,20,0.0
2,Tuktoyaktuk,CA,2022-01-25 01:12:04,69.4541,-133.0374,23.45,87,100,17.31
3,Makat,KZ,2022-01-25 01:12:04,47.6469,53.3463,17.4,91,100,15.26
4,Barrow,US,2022-01-25 01:04:15,71.2906,-156.7887,12.22,79,100,17.27
5,Atuona,PF,2022-01-25 01:07:27,-9.8,-139.0333,78.78,73,25,17.65
6,Vetluzhskiy,RU,2022-01-25 01:12:05,58.3902,45.4654,7.59,96,96,6.76
7,Georgetown,MY,2022-01-25 01:08:28,5.4112,100.3354,80.53,83,20,0.0
8,Bluff,NZ,2022-01-25 01:05:36,-46.6,168.3333,60.8,74,100,14.47
9,Saint-Philippe,RE,2022-01-25 01:08:38,-21.3585,55.7679,76.59,69,55,14.99
10,Hilo,US,2022-01-25 01:09:52,19.7297,-155.09,80.33,58,20,9.22
11,Arraial Do Cabo,BR,2022-01-25 01:11:40,-22.9661,-42.0278,75.9,88,32,22.01
12,Provideniya,RU,2022-01-25 01:08:43,64.3833,-173.3,6.91,72,75,11.18
13,Ndele,CF,2022-01-25 01:12:05,8.4109,20.6473,70.23,26,78,4.76
14,Longyearbyen,SJ,2022-01-25 01:08:15,78.2186,15.6401,22.84,74,40,24.16
15,Talnakh,RU,2022-01-25 01:10:27,69.4865,88.3972,-6.12,97,98,10.98
16,Salinopolis,BR,2022-01-25 01:12:06,-0.6136,-47.3561,78.19,78,100,8.81
17,Rikitea,PF,2022-01-25 01:09:47,-23.1203,-134.9692,78.49,72,100,17.83
18,Lata,PT,2022-01-25 01:12:07,40.1629,-8.3327,41.72,85,0,4.25
19,Lazaro Cardenas,MX,2022-01-25 01:12:07,17.9583,-102.2,77.34,70,65,7.09
20,San Patricio,US,2022-01-25 01:12:07,28.017,-97.5169,53.58,89,18,6.4
21,Vaini,TO,2022-01-25 01:10:23,-21.2,-175.2,80.42,77,17,14.63
22,Lavrentiya,RU,2022-01-25 01:12:08,65.5833,-171.0,-4.88,96,100,6.08
23,Launceston,AU,2022-01-25 01:07:52,-41.45,147.1667,79.61,56,40,1.01
24,Cuamba,MZ,2022-01-25 01:12:08,-14.8031,36.5372,68.32,97,100,11.48
25,Garmsar,IR,2022-01-25 01:12:08,35.2182,52.3409,39.09,36,0,1.43
26,Castro,BR,2022-01-25 01:09:45,-24.7911,-50.0119,66.56,68,88,5.19
27,Lebu,CL,2022-01-25 01:11:38,-37.6167,-73.65,58.66,81,0,17.47
28,Karratha,AU,2022-01-25 01:10:29,-20.7377,116.8463,87.22,67,3,11.59
29,Pokhara,NP,2022-01-25 01:12:09,28.2333,83.9833,48.72,47,93,5.59
